"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"GM.CSF",5080,"F","Control",28,17,17,"Squirrel","Zika virus"
"GM.CSF",6359,"M","15 Mosquitos",8,17,17,"Squirrel","Zika virus"
"GM.CSF",6550,"M","15 Mosquitos",7,17,17,"Squirrel","Zika virus"
"GM.CSF",5013,"F","15 Mosquitos",3,17,17,"Squirrel","Zika virus"
"GM.CSF",6518,"M","15 Mosquitos",1,17,17,"Squirrel","Zika virus"
"GM.CSF",5929,"F","Control",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",5080,"F","Control",8,17,17,"Squirrel","Zika virus"
"GM.CSF",4806,"F","15 Mosquitos",3,17,17,"Squirrel","Zika virus"
"GM.CSF",5013,"F","15 Mosquitos",1,17,17,"Squirrel","Zika virus"
"GM.CSF",6359,"M","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",5730,"F","15 Mosquitos",8,17,17,"Squirrel","Zika virus"
"GM.CSF",4806,"F","15 Mosquitos",5,17,17,"Squirrel","Zika virus"
"GM.CSF",4728,"F","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",4683,"F","15 Mosquitos",4,17,17,"Squirrel","Zika virus"
"GM.CSF",5080,"F","Control",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",4806,"F","15 Mosquitos",1,17,17,"Squirrel","Zika virus"
"GM.CSF",5730,"F","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",4683,"F","15 Mosquitos",8,17,17,"Squirrel","Zika virus"
"GM.CSF",6347,"M","15 Mosquitos",4,17,17,"Squirrel","Zika virus"
"GM.CSF",6518,"M","15 Mosquitos",5,17,17,"Squirrel","Zika virus"
"GM.CSF",6347,"M","15 Mosquitos",28,17,17,"Squirrel","Zika virus"
"GM.CSF",6347,"M","15 Mosquitos",2,17,17,"Squirrel","Zika virus"
"GM.CSF",4728,"F","15 Mosquitos",4,17,17,"Squirrel","Zika virus"
"GM.CSF",5080,"F","Control",4,17,17,"Squirrel","Zika virus"
"GM.CSF",6550,"M","15 Mosquitos",5,17,17,"Squirrel","Zika virus"
"GM.CSF",5013,"F","15 Mosquitos",5,17,17,"Squirrel","Zika virus"
"GM.CSF",4683,"F","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",5730,"F","15 Mosquitos",28,17,17,"Squirrel","Zika virus"
"GM.CSF",4728,"F","15 Mosquitos",8,17,17,"Squirrel","Zika virus"
"GM.CSF",5013,"F","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",6359,"M","15 Mosquitos",4,17,17,"Squirrel","Zika virus"
"GM.CSF",6347,"M","15 Mosquitos",8,17,17,"Squirrel","Zika virus"
"GM.CSF",6311,"M","15 Mosquitos",5,17,17,"Squirrel","Zika virus"
"GM.CSF",6359,"M","15 Mosquitos",28,17,17,"Squirrel","Zika virus"
"GM.CSF",6359,"M","15 Mosquitos",2,17,17,"Squirrel","Zika virus"
"GM.CSF",4683,"F","15 Mosquitos",2,17,17,"Squirrel","Zika virus"
"GM.CSF",5929,"F","Control",3,17,17,"Squirrel","Zika virus"
"GM.CSF",5080,"F","Control",2,17,17,"Squirrel","Zika virus"
"GM.CSF",6311,"M","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",4806,"F","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",6518,"M","15 Mosquitos",-7,17,17,"Squirrel","Zika virus"
"GM.CSF",5730,"F","15 Mosquitos",4,17,17,"Squirrel","Zika virus"
