"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"Eotaxin","NV259","F","Control",1,155.42,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",7,208.56,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",1,71.16,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",-7,140.99,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",28,295.31,2.64,"Cyno","Dengue virus"
"G.CSF","BC407","F","1 Mosquito",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",-7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB395","F","10 Mosquitos",3,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","CP60","F","1 Mosquito",28,191.8,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",2,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",1,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",5,1180.78,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",2,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",5,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB395","F","10 Mosquitos",6,121.43,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",-7,140.01,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",6,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR840","F","10 Mosquitos",3,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","BC116A","M","10 Mosquitos",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","BC167","F","10 Mosquitos",3,119.82,113.59,"Cyno","Dengue virus"
"G.CSF","BC167","F","10 Mosquitos",1,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",5,153.38,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",-7,117.45,113.59,"Cyno","Dengue virus"
"G.CSF","BC167","F","10 Mosquitos",2,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR423A","M","10 Mosquitos",28,154.5,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",7,918.31,113.59,"Cyno","Dengue virus"
"G.CSF","FR423A","M","10 Mosquitos",6,164.64,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",2,1358.41,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",6,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",5,163.8,113.59,"Cyno","Dengue virus"
"G.CSF","BC167","F","10 Mosquitos",6,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",4,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",3,1401.33,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",7,156.17,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",1,146.82,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",6,188.85,113.59,"Cyno","Dengue virus"
"G.CSF","SB393","M","1 Mosquito",-7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV289","M","Control",3,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","SB395","F","10 Mosquitos",28,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",4,1295.84,113.59,"Cyno","Dengue virus"
"G.CSF","UG171","F","Control",1,1357.74,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",2,123.42,113.59,"Cyno","Dengue virus"
"G.CSF","FR469A","M","1 Mosquito",7,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","UG253A","M","Control",5,113.59,113.59,"Cyno","Dengue virus"
"G.CSF","NV259","F","Control",28,136.18,113.59,"Cyno","Dengue virus"
