"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"HGF",6314,"M","15 Mosquitos",3,4763.6,70.66,"Squirrel","Dengue virus"
"HGF",6552,"M","15 Mosquitos",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4872,"F","15 Mosquitos",5,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6314,"M","15 Mosquitos",5,4145.07,70.66,"Squirrel","Dengue virus"
"HGF",6321,"M","Control",28,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5045,"F","15 Mosquitos",5,398.94,70.66,"Squirrel","Dengue virus"
"HGF",6541,"M","Control",5,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5910,"F","15 Mosquitos",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5045,"F","15 Mosquitos",7,467.63,70.66,"Squirrel","Dengue virus"
"HGF",6552,"M","15 Mosquitos",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6519,"M","15 Mosquitos",3,4236.56,70.66,"Squirrel","Dengue virus"
"HGF",6321,"M","Control",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6541,"M","Control",3,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6401,"M","15 Mosquitos",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4872,"F","15 Mosquitos",7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4516,"F","15 Mosquitos",3,2732.77,70.66,"Squirrel","Dengue virus"
"HGF",6541,"M","Control",7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6314,"M","15 Mosquitos",-7,3290.52,70.66,"Squirrel","Dengue virus"
"HGF",6401,"M","15 Mosquitos",8,70.66,70.66,"Squirrel","Dengue virus"
"HGF",5045,"F","15 Mosquitos",-7,398.94,70.66,"Squirrel","Dengue virus"
"HGF",6363,"M","15 Mosquitos",4,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4516,"F","15 Mosquitos",-7,4591.62,70.66,"Squirrel","Dengue virus"
"HGF",6519,"M","15 Mosquitos",-7,6260.63,70.66,"Squirrel","Dengue virus"
"HGF",6401,"M","15 Mosquitos",28,70.66,70.66,"Squirrel","Dengue virus"
"HGF",4872,"F","15 Mosquitos",-7,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6314,"M","15 Mosquitos",7,3919.28,70.66,"Squirrel","Dengue virus"
"HGF",6552,"M","15 Mosquitos",28,70.66,70.66,"Squirrel","Dengue virus"
"HGF",6363,"M","15 Mosquitos",28,70.66,70.66,"Squirrel","Dengue virus"
"I.TAC",6519,"M","15 Mosquitos",7,52.02,32.04,"Squirrel","Dengue virus"
"I.TAC",6552,"M","15 Mosquitos",-7,32.04,32.04,"Squirrel","Dengue virus"
"I.TAC",6401,"M","15 Mosquitos",4,46.63,32.04,"Squirrel","Dengue virus"
"I.TAC",4872,"F","15 Mosquitos",5,37.33,32.04,"Squirrel","Dengue virus"
"I.TAC",4516,"F","15 Mosquitos",7,114.37,32.04,"Squirrel","Dengue virus"
"I.TAC",6321,"M","Control",-7,50.1,32.04,"Squirrel","Dengue virus"
"I.TAC",6363,"M","15 Mosquitos",-7,34.02,32.04,"Squirrel","Dengue virus"
