"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",28,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"TGFbeta","F",95.01,3.3,0.966432712847116,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",6.9,2066
"NV259","Control",28,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",6.9,2066
"NV259","Control",3,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"G.CSF","F",135.21,113.59,1.15121328224776,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MDC","F",1392.48,286.83,0.790440779950614,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"RANTES","F",4260.48,9.09,1.30169292673761,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IFN.g","F",27.52,14.44,0.950276243093923,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"Eotaxin","F",149.41,2.64,0.549665219630638,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"EGF","F",131.73,3.41,1.13092376373626,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MIP.1a","F",111.63,28.54,3.91135248773651,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.12","F",2486.54,112.39,0.804609156832353,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"HGF","F",906.11,74.94,1.11381404267873,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"I.TAC","F",138.81,32.66,0.754566210045662,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"TGFbeta","F",98.31,3.3,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MCP.1","F",470.99,20.12,0.844355604955092,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.RA","F",180.4,55.74,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MIP.1B","F",76.55,32.55,1.19255335722075,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MIF","F",240.22,5.06,1.53770323902189,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",6,1786
"NV259","Control",3,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",6,1786
"NV259","Control",4,"TGFbeta","F",101.99,3.3,1.03743261112806,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"HGF","F",925.76,74.94,1.1379683351362,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.RA","F",175.9,55.74,0.975055432372506,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"MIF","F",286.31,5.06,1.83273588528998,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",4.5,1341
"NV259","Control",4,"G.CSF","F",157.32,113.59,1.33946360153257,"Cyno","Dengue virus",4.5,1341
